# Data set used to train the AI - Data collected by the Sym-Bot Project team.
#
# Action  Flex_1  Flex_2  Flex_3  Flex_4  IMU
0  70  74  64  85  0.8  
0  82  92  76  98  0.86  
0  85  95  81  105  0.84  
0  57  75  58  85  0.74  
0  45  67  46  77  0.74  
0  56  99  85  113  0.87  
0  62  96  81  109  0.85  
0  61  89  79  105  0.86  
0  58  79  71  100  0.61  
0  63  75  68  98  0.96  
0  69  92  72  109  0.84  
1  5  98  82  107  0.93  
1  4  94  81  99  0.92  
1  2  76  61  100  0.9  
1  5  54  28  86  0.88  
1  3  65  45  96  0.86  
1  5  72  61  93  0.86  
1  2  72  57  95  0.82  
1  6  75  62  95  0.78  
1  4  77  67  98  0.89  
2  0  64  41  93  -0.97  
2  0  61  37  90  -0.98  
2  2  68  38  94  -0.96  
2  2  56  31  86  -0.97  
2  9  69  45  97  -0.97  
2  4  49  32  84  -0.96  
2  7  50  32  90  -0.96  
2  4  55  29  83  -1.01  
3  2  54  45  17  0.87  
3  2  70  48  22  0.8  
3  2  58  26  15  0.78  
3  3  78  52  16  0.86  
3  3  60  35  0  0.85  
3  4  71  60  18  0.83  
3  3  67  38  0  0.88  
3  4  52  20  6  0.88  
4  0  55  38  30  -1.01  
4  0  61  45  38  -0.99  
4  0  56  36  55  -0.99  
4  0  59  44  39  -0.98  
4  0  57  47  37  -0.99  
4  0  56  33  36  -1.0  
4  0  65  42  41  -1.0  
4  0  59  38  39  -1.0  
4  0  66  40  39  -0.98  
4  0  61  42  36  -0.99  
4  0  49  38  31  -0.98
4  0  59  48  40  -1.01
4  4  57  43  40  -1.0
4  0  39  31  49  -0.97
4  2  43  32  48  -1.0
5  39  54  51  29  -1.0  
5  46  58  47  29  -0.99  
5  53  59  39  28  -1.01  
5  43  51  32  33  -0.98  
5  41  67  47  32  -0.92  
5  56  64  46  29  -0.9  
5  54  53  49  29  -0.9  
5  53  61  52  28  -0.94  
5  47  49  35  29  -1.0  
5  51  51  51  31  -0.97  
5  51  48  51  30  -0.97
6  0  0  0  0  0.91  
6  0  0  0  0  0.43  
6  3  2  1  0  0.46  
6  1  0  0  31  0.45  
6  2  1  0  28  -0.36  
6  1  1  0  27  0.0  
6  4  5  1  24  0.0  
6  1  0  0  8  0.51  
6  2  1  1  8  0.87  
6  1  1  1  36  -0.75  
6  2  1  0  17  0.61  
6  2  0  0  11  -0.98  
6  1  4  0  17  -0.721
# Data end - Arasmith
